,genes,mean,std
126,Bglap2,0.004123699793998096,0.07287857961579404
127,Tac2,0.07623341743541438,0.43086362135276046
128,Rpl34-ps1,0.9306711813822364,0.8556364474686509
129,Fam163a,0.021829292168236415,0.1539773946985003
130,Gm11110,0.0069126116604654245,0.07060291574748959
131,Hcn3,0.12193626776808708,0.3072579481375691
132,Cenpa,0.020062394789768734,0.13495289108322267
133,Col6a3,0.01888791344526802,0.13089847425150775
134,Dlx6os1,0.1372516104762447,0.44523347192949736
135,Col15a1,0.010027284947488946,0.10807635478669943
136,Cacng5,0.03687780693346966,0.18614450827298895
137,Xist,1.1647899224932698,1.325777367892999
138,Scn7a,0.012219304664559451,0.10351628780946405
139,Dennd2a,0.10233503448189595,0.29562684699391667
140,Wnt5a,0.06153286434152162,0.25505133905902416
141,Tmem229b,0.15307151950932976,0.3507251970530234
142,Cbln2,0.0948497579567841,0.31127583946084025
143,Bloc1s3,0.017674242855110104,0.10829672475073593
144,Socs2,0.1267300238724358,0.3455864627628607
145,Slc18a3,0.003069027519464096,0.057839161407572226
146,Mybpc1,0.005872493595529515,0.0811678531397284
147,AI848285,0.025874372691957408,0.17478083808477085
148,Wnt5b,0.010909752510550019,0.10901174600429854
149,Tcerg1l,0.03435320401945447,0.17075812134671378
150,Scgn,0.005433543152896418,0.06147130876832081
151,Myl1,0.007216711220844415,0.12458830523983877
152,Chat,0.003411307142498886,0.06603795050108163
153,Gpr176,0.05386606832213092,0.2024750584282013
154,Gpr68,0.010781980850137212,0.0868708015023674
155,Hcrtr2,0.03555329559547532,0.16526633171488342
156,Cntn6,0.03854916042674599,0.16204709570214298
157,Col24a1,0.015001811729294686,0.12172752284016392
158,Glra2,0.033924173862485835,0.17331943501530653
159,Rgs16,0.10787336637890478,0.3275949428420564
160,Scn5a,0.005684264185226301,0.06146310593566419
161,Grpr,0.01298561270740782,0.12147496827375698
162,Penk,0.10383090681819472,0.37320364675749335
163,Calb2,0.036631156526468756,0.2566988756022608
164,Rgs8,0.1524440265832447,0.322037708724071
165,Slc5a6,0.06959205976440982,0.2447692163040939
166,Vangl2,0.016767517421487563,0.11492820680398175
167,A230072E10Rik,0.0043598953429950455,0.05633073760410024
168,Bard1,0.004251056656662914,0.059247722941451406
169,Lca5l,0.01114226145276214,0.09636589505704533
170,H2-M5,0.005354589650317556,0.07035486903929397
171,Bag2,0.05930940584711941,0.2141423566533368
172,Trpc3,0.04406078403285656,0.2034837529741383
173,Fam159b,0.003959560939753908,0.06907718844858701
174,Gpc3,0.024463779373890944,0.15541705308561052
175,Clrn1,0.00960653735179076,0.08823244352624275
176,Dnajc4,0.04355430063015213,0.18130224167314435
177,Rimklb,0.08745158167924738,0.2572988583845282
178,2610002M06Rik,0.2333863196773656,0.4123668373294206
179,Cep120,0.1846200462833617,0.38394636473330784
180,Dfna5,0.06200642065081541,0.21201904644912423
181,Dlx1,0.10097360026320681,0.3269307280894993
182,Panx1,0.10411118691951383,0.2828302706008476
183,Slc7a1,0.2255452216316182,0.50486598321679
184,Dlx2,0.041226809294568914,0.20518681157208016
185,Acpl2,0.06811708810424646,0.22676014752925722
186,Pag1,0.08154776151882431,0.27007362876226415
187,Syngr3,0.6411675250817853,0.7019488692363919
188,Rbms3,0.17053644318449715,0.46272744157545875
189,Pgap1,0.2144665546901214,0.41315369872494895
190,Dzank1,0.3327597924407429,0.4992797007102748
191,Dcx,0.13453103093160765,0.32196505754977595
192,Nap1l5,0.9192481003267793,0.891729854303241
193,Dbndd1,0.04753077869208998,0.180004870403839
194,Lancl3,0.026358762849587172,0.13631573570916325
195,Peg3,0.6516994937336981,0.6843558026433301
196,Rimkla,0.05365348402751662,0.21502129740312487
197,1500011B03Rik,0.4936645317990054,0.5615515623311084
198,Tbc1d8,0.05221811970835319,0.2010029575987072
199,Dnm3,0.577931125737268,0.6944105425324704
200,Prpsap1,0.28279387969740616,0.4698154298634953
201,Neto1,0.21626584653846437,0.40488563232884034
202,Syt13,0.44776734341301655,0.536143535799802
203,Marcks,0.8779993304446613,0.8767338149920095
204,Lhfpl3,0.03999908305642609,0.16734747195984198
205,Nap1l3,0.3460716091951792,0.499764825128341
206,Tmsb10,0.7295131285010082,0.7589274868814235
207,Fgf12,0.5311739840444035,0.632496527922844
208,Pitpnc1,0.3234391211074918,0.5747787173974694
209,Hsdl1,0.18872222459058396,0.3728918989976838
210,Iglon5,0.09593170875816694,0.2729219239697344
211,Kcnh2,0.0350230752727553,0.1740220889046667
212,Thsd7a,0.3186234510480465,0.5547252373568562
213,Arhgdig,0.24078085896576104,0.3993322746160882
214,Slc25a33,0.14168327436867648,0.3347360465748712
215,AI504432,0.1343395859846061,0.3296994383263629
216,Rpp25,0.02152984887609466,0.11546520870641497
217,Rassf5,0.0821803399955175,0.2516819325341414
218,Tmem130,0.48691514205317726,0.6412796342568343
219,Slc8a3,0.06131034926844516,0.230828409894662
220,Whrn,0.027754829360324015,0.1629001310376528
221,Cib2,0.08505458746991816,0.2432657069398417
222,Sfrp2,0.007035307107669938,0.07745737038580876
223,Tgoln1,0.5696229230891449,0.6145043483059017
224,Rcan3,0.07521443251464609,0.2618337829964223
225,Cdh7,0.01802698776448229,0.10693750037348194
226,Camk2n2,0.1645238424101209,0.41222041490417116
227,Ccne1,0.07006389174405826,0.21967844647252197
228,Ppme1,0.4649908308131921,0.5586012562357553
229,Polr3d,0.13899497929309648,0.3446422872806441
230,Ugdh,0.12545951139212844,0.32182939265386473
231,Glce,0.0732359573914485,0.22884874174229478
232,Klhl29,0.14085941033533925,0.32786336027644003
233,Mettl25,0.062370402944861555,0.2452197644733006
234,Mrto4,0.13142003541480682,0.3266095482459816
235,Sncb,0.43520608715923775,0.5923652197615235
236,Tmem178,0.2398966800799584,0.4145321860268537
237,Tfap4,0.009234573480095126,0.08987431996883441
238,Dnajb9,0.1900939298697597,0.4032694045744168
239,Zfp385a,0.03253167392112649,0.16359345166996128
240,AF529169,0.006732414352913664,0.08234319767655655
241,Fam161b,0.08232965050342674,0.27114115615598994
242,Foxred2,0.06268191551805137,0.22762774154001225
243,Wdr37,0.32977754830223155,0.47894248832974823
244,Ppp1r3f,0.06291362945728016,0.22474237981809422
245,Nploc4,0.24765267065678181,0.4255907098564008
246,Mpp3,0.1518604185587158,0.3343255265938752
247,Dlc1,0.21451178820379166,0.46056967503010215
248,Ino80e,0.12213750319949006,0.3125152438697177
249,Smim19,0.17058455254293717,0.36484983185444936
250,Tbc1d24,0.3021149481443716,0.4442691290574117
251,Serp2,0.26207754448328957,0.40193354536167214
252,Dexi,0.15163631258213184,0.3289166589400972
253,Samd10,0.05217650627435345,0.21217485798369948
254,Ppfia4,0.16157322359858653,0.3470121146593664
255,Fnta,0.3390799426695273,0.5284027360115785
256,Rab11fip5,0.1950677075768866,0.38404029537159357
257,Camk1,0.16363089025615654,0.36149331412639607
258,Snx8,0.07691552672727334,0.28826816349577755
259,Pelo,0.10640859023703514,0.3050906277289705
260,Pitpnm3,0.0953380075945037,0.280951600841299
261,Ttn,0.032314399043454504,0.17503373377940007
262,B3galt6,0.09702562968961015,0.27396231011326994
263,Afg3l2,0.2777342130211546,0.43115909938938557
264,Hibadh,0.22403161322911844,0.4328788382066271
265,Dnm1l,0.9973577150439661,0.7275701087456666
266,Gpr83,0.045771864458249135,0.17816000367735865
267,Uqcc1,0.16617613015278007,0.3480503678435451
268,Cdv3,0.27385800565142004,0.47525194416843886
269,Egfr,0.030003745082809206,0.17470246037629553
270,Esrrg,0.037606770400199635,0.15565085850438012
271,Pank1,0.15905995360527578,0.36437204324437217
272,Polr2m,0.4153328300365394,0.5465766093300348
273,9630033F20Rik,0.09011336395922992,0.25405548545752055
274,Adrbk2,0.3070047140518163,0.5178971085275392
275,Syne1_loc2,0.5910145635116913,0.675904984901537
276,Ctnna2,0.2168458310716759,0.40654751088746205
277,Arl5a,0.2920492537257675,0.47385501012570025
278,Gjd2,0.03028470708705026,0.17658123037354295
279,Pebp1,1.1011644761098205,0.8100741699669564
280,Adc,0.05915779279492262,0.200335670861447
281,Cxx1b,0.4247880794244281,0.5324503240541332
282,Gnal,0.1827586696072545,0.35793012540901026
283,Cdc27,0.26311662352323134,0.4368846714275609
284,Arhgef10l,0.07618894944472639,0.2658888761562147
285,Nr1d2,0.3615170645485702,0.5349559186609716
286,Elavl4,0.6628586200529247,0.7151130372436159
287,Cntnap1,0.28937744891484846,0.4256240668499772
288,Cops7a,0.5105631576451208,0.5616914513542757
289,Tmem184b,0.1599683445721815,0.3672523104552756
290,Cerk,0.16193139884813057,0.35493925766166623
291,Map1lc3a,0.3653129426641591,0.4657753507748797
292,Elof1,0.1370794485888743,0.3244321131833187
293,Pitpna,0.5722405287271332,0.5495854307011855
294,Faim2,0.4437688570996489,0.5251172294086657
295,Slc45a1,0.15732375651151687,0.3232420145174156
296,Kcnc1,0.3013349918329378,0.5205015721355712
297,Maneal,0.18763280300649748,0.35803515262436103
298,Psmb4,0.7717078998858441,0.6376423233366628
299,B4galt5,0.25354393069537823,0.4213388564616784
300,Impad1,0.3979741382767476,0.5301807753951412
301,Myo5a,0.7135605430196407,0.6350750514362323
302,Nipal3,0.25853876793840763,0.4263171726342428
303,Mafb,0.08655648255308536,0.330575403374001
304,Dynll2,0.7724158368025366,0.7553592159616398
305,Gnas,1.89114875756762,0.8799044198777897
306,Ctsd,1.1038019216100308,0.763062261918774
307,Gng3,0.6797085606813827,0.7405417753758055
308,Slc38a1,0.43887659211127017,0.598481017408532
309,Kif1a,1.6997242661462648,0.7976794129894234
310,Pgam1,1.2355392816558655,0.7962057535703186
311,Tcf25,1.3957937097688284,0.6958836082772649
312,Stxbp1,0.9245890641966199,0.8537589415316034
313,Rims2,0.4063808523825123,0.521741476573456
314,Scn1a,0.6573773490410676,0.7382321297474761
315,Efhd2,0.43338669384775463,0.6081652356195573
316,Lgmn,0.3438440994643134,0.5519113826568646
317,Vamp1,0.10502501193080686,0.2545886244745405
318,Stox2,0.6492681797748794,0.6355061301591087
319,Rnf11,0.6933027477014482,0.6496537626075732
320,Plcb4,0.13158174923771432,0.3183128569259035
321,Tspyl4,0.8868489422933036,0.7088034490299486
322,Lynx1,0.5586430300343255,0.6559956444606093
323,Capns1,0.5479030922526329,0.6029699629145014
324,Ttyh3,0.49050374226939064,0.6258602030736969
325,Vegfb,0.20040644058669466,0.42360405277595076
326,Tiam1,0.1977161590202081,0.4297320763095118
327,Bcap29,0.2204492620590721,0.40824622584193604
328,Haus4,0.0258043790319795,0.14138303842686345
329,Cxx1c,0.8983524066785012,0.659332312133264
330,Slc32a1,0.1286045369560429,0.39998247406342813
331,Gas6,0.4925688963662368,0.632270359227522
332,Prkar1b,1.0210800363993684,0.898083381620299
333,Scoc,1.0687486782546052,0.7225627394618009
334,Ell2,0.1548072332699168,0.3184911821867641
335,Adam9,0.2956701843294248,0.4897763420200603
336,Pdxk,0.38071562790136765,0.5499362192643302
337,Nat8l,0.4040253394554538,0.49237662503600577
338,Dnajb1,0.26960754573047657,0.49678673723059774
339,Syngr1,0.7395430820753888,0.6740473793695441
340,Bex2,0.7664120840699026,0.7419003111754582
341,Aldoa,2.317003654521238,1.0060187418408069
342,Elavl2,0.441725974774202,0.6778194898416797
343,Cand1,0.4673903870999119,0.5503072500584024
344,Orc5,0.16860433666162603,0.35700653743512295
345,Srrm4,0.24707439235859424,0.4466583362067735
346,Rnf217,0.030901268491530777,0.17231976675207966
347,Dlx1os,0.09134757091320692,0.3512152519422455
348,Atp6v0d1,0.9093771356066531,0.7642471293644453
349,Pkm,1.2923353585645483,0.7955954258695992
350,Pacsin2,0.12111914979538782,0.3290222265251675
351,Rab5b,0.5385727449086264,0.6213852341471295
352,Cdr1,0.23609965865604096,0.4031018190471244
353,Dleu7,0.043169730014094895,0.19282169320144543
354,Rufy3,0.9372075528898176,0.6603614962713067
355,Sult4a1,0.7690548273965642,0.7469407862168457
356,Phyhipl,0.5805007019227436,0.6733710232684327
357,Aldh5a1,0.2325052885465733,0.45792641799102796
358,Slc1a4,0.21566917223858953,0.4561624841302952
359,Kbtbd2,0.2770302295982342,0.45370532269843983
360,Etl4,0.2412781429320524,0.4393141037896918
361,Cpeb3,0.39501357831792305,0.5271563324937795
362,Shroom2,0.45530547508086616,0.5908088391579924
363,Gapdh,0.7785591592110334,0.7271395506865624
364,Adarb1,0.20476938635358793,0.40943759955712333
365,Atp6v1b2,1.1675540199246066,0.8149190452073382
366,Fundc1,0.3152211516698863,0.4719487028934143
367,Rangap1,0.8149446796706433,0.6918909853961894
368,LOC106740,0.22556515187768889,0.41158230144087476
369,Rcan2,0.40335662500334657,0.6007789115340564
370,Mllt11,1.1053847916015174,0.9384723043420929
371,Rap1gds1,0.7420980977288102,0.6748633570565236
372,Zc4h2,0.14530809611429193,0.33202130500617777
373,Cplx1,0.6249296460443249,0.8027784096594813
374,Kcna6,0.3173348519597791,0.5009614985060677
375,Arnt2,0.6128718810103301,0.6653263734200604
376,AA465934,0.09740162400556682,0.266689617906742
377,Vdac1,0.856762409750713,0.6642255160628214
378,Slc25a3,1.4049610597024147,0.8385065790494722
379,Abat,0.40007295923403613,0.6016727803261439
380,Lrrc3b,0.03528624918318033,0.15732906456845602
381,Rpl3,0.8486619340252757,0.6610873440660114
382,Kcna2,0.6442028368074763,0.6091831496123736
383,Pclo,0.933027409381557,0.752819925247257
384,Ankib1,0.31349931085070043,0.49078585770066885
385,Hspa8,2.214941767825065,0.8118950218604857
386,Lpgat1,0.6755683247935951,0.5942545788083302
387,Adcyap1r1,0.23131144625970013,0.4305886734212798
388,Cltb,0.40283979541945975,0.5088748933715801
389,Hdgfrp3,0.5646604443250995,0.6168553931721148
390,Fam102b,0.1943828643508838,0.40660490019795703
391,Hccs,0.22314817865259834,0.4194080532816409
392,Vwc2,0.02379244919029528,0.12882953896529545
393,Lrtm2,0.08300067542396647,0.2637359144642158
394,Asic2,0.33063053402448456,0.48032222452574547
395,Tbc1d9,0.13967408374224646,0.2962986340640167
396,Klc1,0.8772870724589972,0.7353287858086675
397,Lpin1,0.15419832813660436,0.3583856802638593
398,Ndn,0.8127285216146222,0.745019943529658
399,Rpl41,1.3818723259372838,0.7559771072625017
400,Ids,0.7489644952948994,0.7128710146975299
401,Sfxn1,0.37526780217638034,0.48226721198864697
402,Dnlz,0.14282596958258784,0.31210829307769866
403,Fam63b,0.49250597395436735,0.6174533680999398
404,Neto2,0.23213993601513386,0.43508741203388157
405,Grip1,0.18916600633679134,0.3739344472115475
406,Abhd8,0.21677521811844705,0.3697015602131494
407,Ctps,0.3557654813006396,0.5834417396852195
408,Ntrk2,1.154495908684421,0.8220391788388814
409,Cspg5,0.44885597119414666,0.6421089780528068
410,Syt1,2.094058649021258,1.3171842829398188
411,Msi2,0.37632338832103074,0.5981374931187866
412,Gm13363,0.6861651885876441,0.6902384464098003
413,Gabarapl1,1.21475375914534,0.7363990549263558
414,Eef1a2,0.5718731725771297,0.6521058354784459
415,Uba1,0.7835516173113602,0.6051261705973786
416,Fam163b,0.12491136090132639,0.30053979929095587
417,Mvb12b,0.42321107837304894,0.5649485845847265
418,Got2,0.6555395115978905,0.649467738291853
419,Scg3,0.7730768288828173,0.8321484310799943
420,Ipo4,0.32230348931176095,0.4781641901232598
421,Ndrg4,1.412750656563113,1.1060414442062994
422,Srcin1,0.6930866906527869,0.6460774010185698
423,Armcx2,0.29244458983821203,0.45053500519237194
424,Lbh,0.14360588975932553,0.3430701806468263
425,Smyd2,0.24025345633609124,0.4047692539205311
426,Uggt1,0.2611935053460808,0.42976767732125515
427,Ppip5k2,0.17358647570534672,0.3725671137629114
428,Sv2a,1.1241385681508187,0.7220314497959279
429,Wbp2,0.8085323278102621,0.656916821533414
430,Stau2,0.3130791415291499,0.45458555612448187
431,Rab3a,1.131587016513066,0.8736946081592445
432,Clip3,0.6876754428453731,0.5743373960194093
433,Smap1,0.50651769222515,0.5835257717791407
434,Atcay,0.4382217153584501,0.5300303207399413
435,Prune2,0.16201304172517456,0.31196767065791897
436,Polr3h,0.19000182671971408,0.3929135993290007
437,Zfp941,0.13758226775885024,0.3175274137256432
438,Impact,0.9911373981521054,0.7346397490244299
439,Pcsk1n,0.47224320334424197,0.5544990101445623
440,Pdxp,0.3944384028381992,0.4829360988001455
441,Rasgrf2,0.2351670493649167,0.5206941618163471
442,Bcat1,0.31554694962184165,0.49405697407898774
443,Celf4,1.3203491813132846,1.0197246885534719
444,Slc6a17,0.4759683531056625,0.5677041035434932
445,Nova1,0.18267681377501338,0.3743233543762394
446,Gnb1,0.9396022864962973,0.6703700811641817
447,Cend1,0.6445245813906887,0.6696788075151493
448,Pten,0.7395354809261201,0.6183817213977744
449,Gm6682,1.1914813781439166,0.7302355532586906
450,Cep170b,0.31955973143982214,0.4388634319067194
451,Hdac6,0.16853435818546028,0.3524748002916644
452,Syp,0.9595031319660275,0.8542469964561824
453,Fam3c,0.24097878048304908,0.4224778743348471
454,Steap2,0.05139020348150599,0.2109815162206138
455,Pink1,0.47058723943800773,0.5600918317891447
456,Apba1,0.2620274506224174,0.4039732855422047
457,Fam149a,0.045671375177664286,0.19596381792470652
458,Atp6v0e2,0.9983489185621258,0.6826843590905187
459,Rnf14,0.781782544908825,0.6457443421284694
460,Oxct1,1.1991122297855858,0.7369585567973693
461,Cxxc4,0.15121463686971617,0.30937435221534026
462,Rps26,0.6297815591642345,0.6525537013252383
463,Mcm6,0.03660632398184048,0.17816226618379927
464,Atp6v0c-ps2,2.0026302926353923,0.971047166028724
465,Vamp2,0.9352822745302553,0.7373284750764255
466,Slc2a3,0.4311493669542021,0.5420296595259141
467,Ppm1h,0.18240191480284323,0.33880502491100967
468,Rcn2,0.48474959012077573,0.5669055572051841
469,Nipal2,0.035359370172916356,0.16468765648537298
470,Bex1,0.30665608021661567,0.47688374632121167
471,Ide,0.24580697295768883,0.43624730440387977
472,Impdh1,0.14509355994607764,0.3550700806852895
473,Alg2,0.27836737420019414,0.41854086258299705
474,Sorbs1,0.5034111583044446,0.6360004418702966
475,Grb10,0.11033224515530116,0.3214914786034579
476,Rab6b,1.04370733139023,0.8114796552197925
477,Rusc1,0.4479393975954881,0.5611750378862944
478,Aktip,0.19502539009401287,0.3812866981497501
479,Gdap1,0.5425371355006778,0.5782206821765484
480,Uri1,0.24765130839808014,0.41896239307482175
481,Fbxo9,0.3940168188336288,0.50779992957007
482,Capn2,0.34171660719516866,0.5328234092813853
483,Slc25a46,0.44321039457884487,0.5450206171043979
484,Fam168b,0.5883404974532802,0.6073695164836611
485,Glud1,0.467306901789743,0.6014767877179534
486,2900056M20Rik,0.2955045031033419,0.46663371450214225
487,Tceal5,0.6968922766294336,0.7070757416543145
488,Mbtps2,0.11245986301073814,0.29079558868963507
489,Purb,1.2662582566357294,0.7672061700206799
490,Trove2,0.5037012970834326,0.579698619214672
491,Sipa1l2,0.14957215591099815,0.3654236679768593
492,Reep5,0.9301041012496599,0.7412064361221469
493,Bcar1,0.2034306949515906,0.41788973257067524
494,Clstn3,0.4954497507031071,0.5839696518133357
495,Rtca,0.23812710170737916,0.40010352555034306
496,Azin1,0.7007811314998172,0.6340347269876326
497,Slc23a2,0.4255419837952454,0.5502188305102187
498,Atp6v1a,2.0555640979535172,0.9396985046426781
499,Pcgf2,0.1207550574311004,0.3067877988586915
500,Ywhag,1.5239281804956335,1.003641868996896
501,Elovl4,0.47116473539795933,0.556143590320903
502,Snx15,0.22816687684487583,0.41099744954601336
503,Mepce,0.22928281572714027,0.42907975423061107
504,Rnd3,0.09727745605586174,0.2978005335957729
505,Eif2s3x,0.4412179359679611,0.5453865985059442
506,Eif4g2,1.3092803171589449,0.7237231329725021
507,Ube2e1,0.372542705264147,0.5059066244456486
508,Tmem55b,0.5270930525268771,0.5942270854363609
509,Gria4,0.3098456107389907,0.5161087673322772
510,Scai,0.49004762535682334,0.5976285534726545
511,Rps27a,1.1249068269812923,0.7274455846652632
512,Ubc,1.6784684220883692,0.8167169591435393
513,Sgpp1,0.24769352711675172,0.46861491524346327
514,Rnf187,0.9527128779550955,0.735178018326464
515,Slc45a4,0.0989235714796974,0.26950073029564214
516,Snurf,1.5615356264217524,1.0299970845379147
517,Chst10,0.16747758707369426,0.3598490249152636
518,Mfn2,0.506136008422704,0.5722693674310056
519,Thbs2,0.024847958850582903,0.16070286006803433
520,Peg13,0.4421561186206519,0.5897242921061607
521,Sqstm1,1.039023360872824,0.7244581432131235
522,Usp32,0.3787480410690514,0.5104464720048443
523,Setd7,0.3893359356632645,0.5222945751334167
524,Ankrd50,0.1322566471560029,0.3501864133277355
525,Map3k9,0.12314112938680188,0.30021169067164066
526,Cltc,1.288365262112086,0.7907448302684396
527,Snx16,0.2981988981738067,0.4564548779452741
528,Epb4.1l1,0.5122828324106886,0.5166906567465882
529,A330050F15Rik,0.026012113710211438,0.13377576173404498
530,Osbpl3,0.11007616599268603,0.3046123820089679
531,Csk,0.07952639570152899,0.2559262649501036
532,Rab21,0.22642017737303716,0.4225174481511791
533,Rps6ka6,0.019263923277275732,0.11705945167490613
534,Chchd10,0.5358243867035912,0.5987772151923628
535,Col26a1,0.02574093534724288,0.1546124966583652
